제한속도,구,동
50,중랑구,신내동
30,도봉구,방학동
50,노원구,상계동
50,서대문구,창천동
50,중구,을지로6가
50,송파구,오금동
30,관악구,신림동
40,관악구,신림동
50,관악구,봉천동
50,중구,남대문로5가
50,중구,남대문로5가
50,송파구,문정동
50,송파구,문정동
50,서초구,방배동
50,강서구,외발산동
50,강서구,외발산동
30,동작구,노량진동
80,관악구,신림동
80,관악구,신림동
80,서초구,방배동
80,서초구,우면동
50,은평구,신사동
50,양천구,신정동
50,노원구,상계동
30,서초구,반포동
30,서초구,반포동
50,강남구,삼성동
0,강북구,번동
0,강북구,수유동
30,강북구,수유동
50,강서구,공항동
50,광진구,광장동
50,동대문구,이문동
50,동작구,신대방동
50,마포구,아현동
50,동대문구,제기동
50,송파구,방이동
30,강남구,역삼동
50,양천구,신정동
50,은평구,역촌동
50,종로구,신문로2가
0,강북구,수유동
0,강북구,미아동
0,강북구,미아동
0,강북구,번동
0,강북구,번동
0,강북구,번동
0,강북구,미아동
0,강북구,번동
0,강북구,번동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,번동
0,강북구,수유동
0,강북구,미아동
0,강북구,미아동
0,강북구,수유동
0,강북구,수유동
0,강북구,수유동
0,강북구,우이동
0,강북구,미아동
0,강북구,수유동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
0,강북구,번동
0,강북구,미아동
0,강북구,번동
0,강북구,수유동
0,강북구,수유동
0,강북구,번동
0,강북구,번동
0,강북구,미아동
0,강북구,미아동
0,강북구,미아동
50,강서구,공항동
50,강서구,염창동
50,관악구,봉천동
50,구로구,오류동
50,도봉구,방학동
30,동대문구,전농동
50,동작구,노량진동
50,마포구,상암동
80,마포구,망원동
70,서대문구,연희동
50,서초구,방배동
50,성동구,성수동1가
50,성북구,동소문동1가
50,성북구,석관동
50,양천구,목동
50,영등포구,당산동4가
30,광진구,자양동
30,광진구,중곡동
30,광진구,군자동
30,광진구,자양동
30,광진구,자양동
30,광진구,중곡동
30,광진구,군자동
30,광진구,자양동
30,금천구,독산동
50,금천구,독산동
30,금천구,독산동
30,금천구,독산동
30,금천구,독산동
30,금천구,시흥동
30,금천구,시흥동
30,금천구,독산동
30,금천구,독산동
30,금천구,독산동
50,금천구,시흥동
30,중랑구,면목동
30,중랑구,신내동
30,중랑구,망우동
50,중랑구,면목동
30,중랑구,신내동
30,중랑구,묵동
50,중랑구,중화동
30,중랑구,신내동
50,강남구,대치동
30,강남구,도곡동
30,강남구,논현동
50,강남구,삼성동
30,광진구,중곡동
30,양천구,신월동
30,양천구,목동
50,양천구,목동
30,광진구,구의동
50,광진구,구의동
30,광진구,구의동
30,동작구,상도동
30,동작구,상도동
30,동작구,대방동
30,동작구,신대방동
30,동작구,사당동
30,동작구,대방동
30,동작구,노량진동
30,동작구,대방동
30,동작구,흑석동
30,동작구,신대방동
30,동작구,사당동
30,동작구,사당동
30,강동구,고덕동
30,강동구,암사동
30,강동구,고덕동
30,강동구,상일동
30,중랑구,신내동
50,중랑구,신내동
30,중랑구,면목동
30,영등포구,당산동5가
30,영등포구,양평동3가
30,영등포구,문래동6가
30,영등포구,대림동
30,영등포구,양평동5가
30,영등포구,신길동
50,영등포구,신길동
30,영등포구,신길동
30,영등포구,양평동3가
30,영등포구,도림동
30,양천구,목동
30,강남구,자곡동
30,강남구,자곡동
30,관악구,신림동
30,관악구,신림동
30,관악구,신림동
30,관악구,신림동
30,관악구,신림동
30,양천구,신정동
30,양천구,신정동
30,양천구,목동
30,양천구,신정동
50,양천구,신정동
30,양천구,목동
50,양천구,신정동
30,양천구,신정동
50,양천구,신월동
30,구로구,신도림동
50,구로구,오류동
30,구로구,온수동
30,구로구,오류동
30,구로구,천왕동
40,구로구,천왕동
30,구로구,구로동
30,구로구,신도림동
30,구로구,구로동
40,구로구,고척동
30,구로구,온수동
60,구로구,오류동
30,구로구,온수동
40,구로구,오류동
30,강동구,상일동
30,강동구,고덕동
30,강동구,천호동
30,강동구,강일동
30,강동구,천호동
30,강동구,명일동
30,강동구,강일동
30,강동구,길동
30,강동구,명일동
30,강동구,성내동
30,강동구,상일동
30,영등포구,대림동
30,영등포구,영등포동5가
50,영등포구,문래동3가
30,서대문구,남가좌동
30,서대문구,충정로2가
50,서대문구,연희동
50,서대문구,연희동
30,서대문구,북아현동
30,서대문구,홍은동
30,서대문구,홍은동
30,관악구,봉천동
30,관악구,봉천동
30,관악구,봉천동
30,관악구,봉천동
30,관악구,봉천동
30,관악구,봉천동
50,서초구,서초동
30,서초구,서초동
30,서초구,반포동
30,서초구,반포동
30,서초구,방배동
30,서초구,방배동
30,서초구,방배동
30,서초구,방배동
30,서초구,우면동
30,서초구,우면동
50,서초구,반포동
30,서초구,반포동
50,서초구,내곡동
30,서초구,반포동
30,서초구,반포동
50,송파구,장지동
50,송파구,장지동
50,송파구,장지동
50,송파구,장지동
30,송파구,장지동
30,송파구,장지동
30,송파구,장지동
50,송파구,삼전동
50,서초구,내곡동
30,관악구,봉천동
30,관악구,봉천동
30,관악구,신림동
30,관악구,신림동
30,관악구,신림동
30,관악구,신림동
30,서대문구,남가좌동
30,서대문구,남가좌동
30,서대문구,남가좌동
30,서대문구,충정로2가
30,서대문구,천연동
30,서대문구,대현동
50,서대문구,홍은동
50,서대문구,홍은동
30,서대문구,북가좌동
40,서대문구,북가좌동
30,서대문구,남가좌동
50,송파구,문정동
30,광진구,광장동
50,송파구,거여동
50,송파구,마천동
50,송파구,가락동
50,송파구,가락동
30,용산구,후암동
50,노원구,공릉동
50,노원구,공릉동
50,노원구,월계동
50,영등포구,대림동
50,영등포구,대림동
50,영등포구,대림동
50,영등포구,대림동
50,영등포구,여의도동
40,구로구,오류동
30,구로구,가리봉동
30,도봉구,창동
30,도봉구,도봉동
30,은평구,진관동
50,강서구,가양동
50,강서구,화곡동
50,강서구,화곡동
50,강서구,마곡동
30,송파구,장지동
30,송파구,장지동
50,송파구,장지동
30,성동구,금호동4가
50,성동구,마장동
50,성동구,사근동
30,성동구,성수동1가
50,성동구,응봉동
50,성동구,상왕십리동
30,성동구,옥수동
50,송파구,장지동
50,송파구,장지동
30,송파구,장지동
30,종로구,낙원동
30,종로구,낙원동
30,서초구,반포동
30,서초구,서초동
30,서초구,서초동
30,서초구,서초동
50,서초구,서초동
30,서초구,우면동
50,서초구,서초동
50,서초구,서초동
30,서초구,양재동
30,서초구,양재동
30,서초구,잠원동
30,서초구,내곡동
30,동작구,사당동
50,송파구,문정동
50,강북구,번동
0,강동구,고덕동
0,강동구,성내동
0,강동구,상일동
0,강동구,고덕동
0,강동구,상일동
0,강동구,상일동
0,강동구,명일동
0,강동구,강일동
0,강동구,길동
0,강동구,고덕동
0,강동구,강일동
0,강동구,상일동
0,강동구,천호동
0,강동구,천호동
0,강동구,길동
50,광진구,자양동
30,구로구,개봉동
50,강남구,논현동
50,강동구,성내동
50,금천구,독산동
40,노원구,상계동
50,동대문구,장안동
50,동작구,사당동
50,동작구,동작동
50,마포구,공덕동
50,서대문구,남가좌동
50,성동구,하왕십리동
50,성북구,동소문동2가
50,영등포구,여의도동
50,중랑구,신내동
50,구로구,고척동
30,강동구,둔촌동
30,강서구,화곡동
30,동작구,상도1동
80,마포구,신정동
80,마포구,신정동
80,마포구,상암동
80,마포구,상암동
30,성북구,장위동
30,성북구,장위동
30,강동구,둔촌동
0,마포구,상암동
0,마포구,상암동
0,마포구,상암동
0,마포구,대흥동
0,마포구,대흥동
0,마포구,동교동
0,마포구,신수동
0,마포구,공덕동
0,마포구,대흥동
0,마포구,대흥동
0,마포구,서교동
0,마포구,서교동
0,마포구,서교동
0,강동구,명일동
0,강동구,성내동
0,강동구,명일동
0,강동구,성내동
0,강동구,둔촌동
0,강동구,천호동
0,강동구,길동
0,강동구,상일동
0,강동구,상일동
0,강동구,둔촌동
0,강동구,천호동
0,강동구,길동
0,강동구,천호동
0,강동구,상일동
0,강동구,둔촌동
0,강동구,천호동
0,강동구,상일동
0,강동구,성내동
0,강동구,강일동
0,강동구,성내동
0,강동구,성내동
0,강동구,성내동
0,강동구,천호동
0,강동구,길동
0,강동구,천호동
0,강동구,고덕동
0,강동구,길동
0,강동구,길동
0,강동구,상일동
0,강동구,강일동
0,강동구,천호동
0,강동구,길동
0,강동구,명일동
0,강동구,천호동
0,강동구,명일동
0,강동구,명일동
0,강동구,명일동
0,강동구,길동
0,강동구,암사동
0,강동구,암사동
0,강동구,성내동
0,강동구,성내동
0,강동구,천호동
0,강동구,길동
0,강동구,길동
0,강동구,길동
0,강동구,암사동
0,강동구,명일동
0,강동구,천호동
0,강동구,천호동
0,강동구,천호동
0,강동구,성내동
0,강동구,암사동
0,강동구,길동
0,강동구,천호동
0,금천구,독산동
0,금천구,독산동
0,금천구,가산동
0,금천구,시흥동
0,금천구,독산동
0,금천구,독산동
0,금천구,가산동
0,금천구,독산동
0,금천구,독산동
0,금천구,시흥동
0,금천구,독산동
0,금천구,시흥동
0,금천구,시흥동
0,금천구,독산동
0,금천구,가산동
0,금천구,가산동
0,금천구,가산동
0,금천구,시흥동
0,금천구,시흥동
0,금천구,가산동
0,금천구,독산동
0,금천구,독산동
0,금천구,독산동
0,금천구,독산동
0,금천구,시흥동
0,금천구,시흥동
0,금천구,가산동
0,금천구,시흥동
0,금천구,시흥동
0,금천구,시흥동
0,금천구,시흥동
0,금천구,가산동
0,금천구,가산동
0,금천구,시흥동
0,금천구,시흥동
0,금천구,시흥동
0,금천구,시흥동
0,금천구,독산동
50,성동구,옥수동
50,중구,충무로5가
50,종로구,서린동
50,종로구,혜화동
50,은평구,진관동
50,서대문구,홍제동
50,동대문구,용두동
40,관악구,신림동
50,중구,신당동
30,광진구,자양동
50,서초구,잠원동
50,동대문구,장안동
80,용산구,이촌동
80,광진구,광장동
80,중랑구,묵동
50,서초구,우면동
50,서초구,방배동
50,강동구,성내동
50,강남구,대치동
50,강남구,신사동
50,금천구,가산동
50,관악구,봉천동
50,영등포구,영등포동4가
50,양천구,신정동
50,영등포구,영등포동
50,강서구,화곡동
40,구로구,오류동
30,강북구,미아동
50,도봉구,도봉동
50,노원구,중계동
50,광진구,군자동
50,중랑구,망우동
30,은평구,증산동
60,은평구,수색동
60,은평구,응암동
30,은평구,진관동
30,은평구,대조동
30,은평구,녹번동
30,은평구,신사동
30,은평구,갈현동
30,은평구,불광동
30,은평구,역촌동
30,은평구,갈현동
30,은평구,구산동
50,은평구,대조동
30,은평구,불광동
30,은평구,진관동
30,은평구,구산동
50,은평구,증산동
30,은평구,진관동
30,은평구,역촌동
50,은평구,응암동
40,은평구,진관동
60,은평구,대조동
60,은평구,응암동
60,은평구,구산동
40,은평구,진관동
60,은평구,신사동
50,은평구,신사동
30,은평구,대조동
30,은평구,대조동
30,은평구,응암동
30,은평구,불광동
30,은평구,불광동
30,은평구,구산동
30,은평구,역촌동
